epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.692895,0.762397,0.435621,0.86489,9.96057350657239e-05
2,0.576286,0.806141,0.424187,0.85367,9.842915805643155e-05
3,0.523398,0.826331,0.400741,0.860683,9.648882429441257e-05
4,0.508427,0.83479,0.376617,0.878915,9.381533400219318e-05
5,0.478322,0.844371,0.336328,0.889201,9.045084971874738e-05
6,0.466075,0.851101,0.340959,0.892941,8.644843137107059e-05
7,0.458118,0.851101,0.333784,0.886863,8.18711994874345e-05
8,0.436516,0.859233,0.497761,0.873773,7.679133974894983e-05
9,0.437868,0.858952,0.513937,0.892473,7.128896457825363e-05
10,0.418476,0.866477,0.38244,0.879383,6.545084971874737e-05
11,0.409191,0.869094,0.51368,0.873305,5.936906572928624e-05
12,0.397537,0.87344,0.609755,0.887331,5.313952597646568e-05
13,0.375875,0.88017,0.440759,0.898551,4.6860474023534335e-05
14,0.375183,0.879843,0.366508,0.907901,4.0630934270713774e-05
15,0.358077,0.886152,0.456626,0.899486,3.454915028125265e-05
16,0.351094,0.883629,0.655563,0.902291,2.871103542174637e-05
17,0.337913,0.889938,0.730307,0.907433,2.3208660251050158e-05
